# Passo temporal: 1000
# Tempo: 0.999 s
# Nx: 21, dx: 0.05, dt: 0.001
# fo = alpha*dt/dx^2 = 0.004
x,T
0,100
0.05,72.2389
0.1,47.8303
0.15,28.9166
0.2,15.9446
0.25,8.02581
0.3,3.69625
0.35,1.56236
0.4,0.608266
0.45,0.218939
0.5,0.0731295
0.55,0.0227498
0.6,0.00661431
0.65,0.00180314
0.7,0.000462321
0.75,0.000111805
0.8,2.55702e-05
0.85,5.54388e-06
0.9,1.14091e-06
0.95,2.16568e-07
1,0
