# Passo temporal: 1800
# Tempo: 1.799 s
# Nx: 21, dx: 0.05, dt: 0.001
# fo = alpha*dt/dx^2 = 0.004
x,T
0,100
0.05,79.1574
0.1,59.7358
0.15,42.8658
0.2,29.1964
0.25,18.8535
0.3,11.5359
0.35,6.68772
0.4,3.67458
0.45,1.91475
0.5,0.947034
0.55,0.445057
0.6,0.198958
0.65,0.0847108
0.7,0.0343954
0.75,0.0133353
0.8,0.00494298
0.85,0.00175281
0.9,0.000591404
0.95,0.000176382
1,0
