# Passo temporal: 1200
# Tempo: 1.199 s
# Nx: 21, dx: 0.05, dt: 0.001
# fo = alpha*dt/dx^2 = 0.004
x,T
0,100
0.05,74.5879
0.1,51.7491
0.15,33.277
0.2,19.7983
0.25,10.8953
0.3,5.55087
0.35,2.6225
0.4,1.15148
0.45,0.471059
0.5,0.180021
0.55,0.0644434
0.6,0.0216671
0.65,0.00685995
0.7,0.00205032
0.75,0.000579878
0.8,0.000155539
0.85,3.9647e-05
0.9,9.60481e-06
0.95,2.12502e-06
1,0
