# Passo temporal: 1400
# Tempo: 1.399 s
# Nx: 21, dx: 0.05, dt: 0.001
# fo = alpha*dt/dx^2 = 0.004
x,T
0,100
0.05,76.4273
0.1,54.9093
0.15,36.9646
0.2,23.2718
0.25,13.6907
0.3,7.52696
0.35,3.87038
0.4,1.86377
0.45,0.841876
0.5,0.35738
0.55,0.142857
0.6,0.0538823
0.65,0.0192156
0.7,0.0064923
0.75,0.00208224
0.8,0.000635128
0.85,0.000184541
0.9,5.10035e-05
0.95,1.27374e-05
1,0
