# Passo temporal: 2000
# Tempo: 1.999 s
# Nx: 21, dx: 0.05, dt: 0.001
# fo = alpha*dt/dx^2 = 0.004
x,T
0,100
0.05,80.2093
0.1,61.6354
0.15,45.2705
0.2,31.7279
0.25,21.1933
0.3,13.4831
0.35,8.16763
0.4,4.7113
0.45,2.58863
0.5,1.35558
0.55,0.677054
0.6,0.322798
0.65,0.147048
0.7,0.0640682
0.75,0.0267257
0.8,0.010684
0.85,0.00409346
0.9,0.00149146
0.95,0.000475184
1,0
